target,uri,target_context,roberta_score
lol,http://www.netmums.com/coffeehouse/home-life-8/birthdays-parties-celebrations-180/567338-unique-party-ideas-parents-40th-wedding-anniversary.html,"its got to be cheap and cheersfull !
i have my mums 60th to organise this year stressfull or what lol
yeah that would prob go down like a lead balloon lol!!
I am going to approach a tv or mag",1.0000
epic,http://www.cosplayisland.co.uk/costume/view/18303,"think i'm gonna do it!!! Only a lil bit more to go!!! AND I HAS MY GUN SHOES!!! THEY LOOK EPIC... and thyre an epic MISSION to walk in! But its all worth it!!
hmm.. (Posted 20th May 2010)
I was",1.0000
epic,http://www.cosplayisland.co.uk/costume/view/18303,"it!!! Only a lil bit more to go!!! AND I HAS MY GUN SHOES!!! THEY LOOK EPIC... and thyre an epic MISSION to walk in! But its all worth it!!
hmm.. (Posted 20th May 2010)
I was just told by a",1.0000
lol,http://www.cosplayisland.co.uk/costume/view/18303,"to -my- hair thats the issue lol. I'll only be pissed off if it wobbles all the time at expo! lol. So yeah apart from that, and getting something to support my boobies.. ITS ALL GOOD :D *does a happy dance*",1.0000
lol,http://boards.giants.com/showthread.php?29746-Will-manning-show-up-in-shape-this-year&p=734447&viewfull=1,"constructions probably going to last for an obscenely long time.
Where in Chantilly? Not trying to stalk you or anything lol.",1.0000
fire,http://www.sandiegouniontribune.com/news/2011/oct/18/ex-padres-farmhand-in-the-spotlight/?page=1,"get hot at the right time.”
“Hot” is not the half of it. Figuratively, at least, David Freese is on fire.
“At least,” Bobby Filotei said, “I got one right.”",1.0000
troll,http://slashdot.org/~MyLongNickName/journal/146847,"get it lifted. Funny part is, it has to be related to two posts that got modded both ""funny"" and ""troll"" pretty much equally.
Sounds like next time I make a risky joke, I will also have to post something pseudo",1.0000
lol,http://wow.allakhazam.com/forum.html?forum=22&mid=1336950941291522945,"Leisure Suit Larry, Space Quest, Police Quest, King's Quest, Gabriel Knight, ... Well, I could go on and on really! LOL
I really couldn't care if it was links to nude Jessica Alba pics. There's just something slimy about creating an",1.0000
lol,http://wow.allakhazam.com/forum.html?forum=22&mid=1336950941291522945,"large enough sum of cash to convince Jessica Alba to pose nude.
Let me know when you get that going... LOL
If it's written like any of the regulars would have written it, and contains legitimate information, I don't see a",1.0000
lol,http://forum.twilightlexicon.com/viewtopic.php?f=25&t=5979&start=160,"you gave me the link so I couldn't wait to get back home and sink my teeth into chapter one, lol.
I just started reading the VA guide as well. SO far it's just a recap of the books chapter by",1.0000
epic,http://www.nancymatthews.blogspot.com/,"off all this debt.
I would never ask you to do this without a great deal of thanks and some epic perks. Those of you who support me will have the first opportunity to receive my awesome new line of merch,",1.0000
tea,http://www.nationalcenter.org/PR-MSNBC_Gone_Wild_111010_.html,are now winking at revolution and filling the air with heated rhetoric are the ones who are also claiming the tea party movement is something to be afraid of. It's hard to believe that the network is now relying on Chris,1.0000
basic,http://www.thegreatfitnessexperiment.com/2014/07/have-you-ever-been-told-you-hitruncry-like-a-girl-its-time-we-make-being-a-girl-not-an-insult.html,"– “I don’t want to be that girl” (said while she was crying through some hurt feelings)
– “I’m a basic b*tch” (said to explain her spray tan, acrylic nails and hair extensions)
– “Stop acting like a girl” (said to",1.0000
lol,http://www.thinkatheist.com/forum/topics/atheist-isn-t-my-preference?commentId=1982180%3AComment%3A1238779,"my 'energy fields'. Figure good for me/good for them, I don't have to believe it to get a nap/deep relaxation. LOL
Dan, I agree with you that although I am a Atheist by definition, I prefer to describe myself as ""non-religious""",1.0000
lol,http://www.womenshairlossproject.com/womens-hair-loss/8th-platelet-rich-plasma-therapy-prp-dr-joseph-greco/,"and there, but hey, I just had my head stuck with a needle a zillion times, give me a break LOL! I think I have a tendency in general to rush my thoughts out because I fear I’ll forget what I",1.0000
sick,http://www.harrypotterfanfiction.com/viewstory.php?chapterid=480713,"Crappers. I don't' know this kid at all.
""Are you serious? James Potter? Or are you playing some sort of sick joke? 'Cause you sure aren't the James Potter I know."" I say, hoping that someone is pranking me.
""Why would",1.0000
